size (cm),weight (g),avg_price (₹),shape_oval,shape_round,color_brown,color_green,color_orange,color_pink,color_purple,color_red,color_yellow,taste_sweet,taste_tangy,fruit_name
2.6345691817169103,3.557035462642791,1.5311236905559795,False,True,False,True,False,False,False,False,False,True,False,watermelon
2.5090298478292636,3.821125347389432,2.2278436192441387,False,True,False,True,False,False,False,False,False,True,False,watermelon
-0.12729616381133677,-0.200446811240851,0.33600111625194673,False,True,False,True,False,False,False,False,False,True,False,custard apple
1.7871786779752894,1.546588481792912,0.18987259188289485,True,False,False,False,True,False,False,False,False,True,False,papaya
0.249321837851606,-0.45477066018792445,-1.0600481790595326,False,False,False,False,False,False,False,False,True,True,False,banana
1.6930241775595534,1.2713761673856523,0.1977009056883797,True,False,False,False,True,False,False,False,False,True,False,papaya
-0.36268241485067604,-0.277354343162446,1.2153817004014207,False,True,False,False,False,False,False,True,False,True,False,pomegranate
-1.2100729185922974,-0.625811926066463,-1.801128552645439,False,True,False,False,False,False,True,False,False,True,False,grape
-0.7236079997776629,-0.5701997777633695,-0.30070173992749405,False,True,False,False,False,False,True,False,False,False,True,plum
-0.15868099728324872,-0.2605350592854129,0.38036156114969477,False,True,False,True,False,False,False,False,False,True,False,custard apple
-0.20575824749111654,-0.34381764235394785,-0.3372338710197572,False,True,False,True,False,False,False,False,False,False,False,guava
-1.1943805018563416,-0.6262188442247782,-1.0548293031892093,False,True,False,False,False,False,False,False,False,True,False,blueberry
1.6145620938797738,1.0110841854499544,0.5917260338977878,False,True,True,False,False,False,False,False,False,True,False,coconut
-0.8805321671372225,-0.6199794324639434,-1.2166144551692313,True,False,False,False,False,False,False,True,False,True,False,cherry
-0.017449246659645087,-0.2800671308845481,0.8317943239326591,True,False,False,False,False,False,False,False,True,True,False,mango
1.3007137591606546,0.8909076893608304,0.8083093825162044,False,True,True,False,False,False,False,False,False,True,False,coconut
-0.2999127479068522,-0.3044822203834672,1.2727893349749768,False,True,False,False,False,False,False,True,False,True,False,pomegranate
0.09239767049204647,-0.29498746335610976,1.13448912441141,True,False,False,False,False,False,False,False,True,True,False,mango
-0.17437341401920461,-0.36809709246676175,-0.5668644093139817,False,True,False,True,False,False,False,False,False,False,False,guava
1.0182502579134478,1.1372288145277027,0.5264900855187467,True,False,True,False,False,False,False,False,False,False,True,pineapple
1.0339426746494036,0.8479100039655121,0.07766676067094425,True,False,True,False,False,False,False,False,False,False,True,pineapple
-0.017449246659645087,-0.2066862230016859,0.33339167831678523,False,True,False,True,False,False,False,False,False,True,False,custard apple
0.12378250396395854,-0.32279353750765644,0.8030905066458811,True,False,False,False,False,False,False,False,True,True,False,mango
1.1908668420089632,0.9185781241262722,0.7430734341371633,False,True,True,False,False,False,False,False,False,True,False,coconut
